RFAM families,Accuracy
RF00409,0.949999988
RF00410,0.949999988
RF00411,1
RF00412,0.75
RF00413,0.949999988
RF00414,1
RF00415,0.949999988
RF00416,0.800000012
RF00418,0.949999988
RF00419,0.899999976
RF00420,1
RF00421,0.899999976
RF00422,1
RF00423,0.949999988
RF00424,0.949999988
RF00425,1
RF00426,0.899999976
RF00427,1
RF00428,1
RF00429,1
RF00430,0.949999988
RF00431,1
RF00432,0.899999976
RF00435,0.649999976
RF00436,1
RF00438,0.75
RF00439,0.800000012
RF00440,0.949999988
RF00442,0.800000012
RF00443,0.949999988
RF00444,1
RF00445,0.949999988
RF00446,0.850000024
RF00451,1
RF00452,0.75
RF00455,1
RF00456,1
RF00460,1
RF00464,1
RF00468,1
RF00469,1
RF00476,0.949999988
RF00480,1
RF00482,0.949999988
RF00485,1
RF00486,1
RF00489,0.949999988
RF00490,1
RF00493,0.899999976
RF00494,1
RF00504,0.100000001
RF00506,0.699999988
RF00507,0.449999988
RF00512,0.800000012
RF00513,1
RF00514,0.949999988
RF00515,0.899999976
RF00516,0.850000024
RF00517,1
RF00518,0.949999988
RF00519,0.949999988
RF00521,1
RF00522,0.949999988
RF00523,1
RF00524,0.550000012
RF00525,1
RF00529,1
RF00548,1
RF00552,0.949999988
RF00553,0.75
RF00554,0.899999976
RF00555,0.949999988
RF00556,1
RF00557,0.949999988
RF00558,1
RF00559,0.949999988
RF00560,0.949999988
RF00561,0.899999976
RF00562,1
RF00564,1
RF00565,1
RF00566,0.949999988
RF00568,0.75
RF00569,0.949999988
RF00571,1
RF00572,1
RF00573,1
RF00574,0.949999988
RF00575,0.899999976
RF00576,1
RF00577,0.949999988
RF00578,1
RF00579,1
RF00580,1
RF00581,0.75
RF00582,0.899999976
RF00586,1
RF00588,1
RF00591,1
RF00592,0.949999988
RF00593,1
RF00598,1
RF00599,1
RF00600,1
RF00601,0.899999976
RF00602,0.949999988
RF00604,0.949999988
RF00606,1
RF00608,0.949999988
RF00609,0.899999976
RF00611,0.949999988
RF00612,0.850000024
RF00613,0.899999976
RF00614,0.800000012
RF00617,1
RF00618,1
RF00619,1
RF00622,1
RF00624,0.949999988
RF00630,0.899999976
RF00634,0.949999988
RF00635,1
RF00637,1
RF00638,0.949999988
RF00639,1
RF00640,1
RF00641,0.949999988
RF00642,0.949999988
RF00643,0.699999988
RF00644,0.949999988
RF00645,0.400000006
RF00646,1
RF00647,0.949999988
RF00648,0.949999988
RF00649,1
RF00650,0.949999988
RF00651,1
RF00652,0.600000024
RF00653,0.949999988
RF00654,1
RF00655,0.949999988
RF00656,0.850000024
RF00657,1
RF00658,0.649999976
RF00659,0.949999988
RF00660,0.699999988
RF00661,1
RF00662,1
RF00663,0.899999976
RF00664,0.5
RF00665,1
RF00666,0.949999988
RF00667,1
RF00668,0.949999988
RF00669,1
RF00671,1
RF00672,0.850000024
RF00673,0.850000024
RF00674,0.899999976
RF00675,0.899999976
RF00677,0.899999976
RF00678,1
RF00679,1
RF00682,0.649999976
RF00683,0.449999988
RF00684,0.949999988
RF00685,0.850000024
RF00686,1
RF00688,1
RF00689,1
RF00690,0.899999976
RF00691,0.949999988
RF00692,0.949999988
RF00693,0.949999988
RF00694,0.949999988
RF00695,0.899999976
RF00697,0.850000024
RF00698,1
RF00700,1
RF00701,1
RF00702,1
RF00704,0.800000012
RF00705,1
RF00706,0.949999988
RF00708,0.949999988
RF00709,0.600000024
RF00711,0.949999988
RF00712,0.449999988
RF00714,0.949999988
RF00715,0.800000012
RF00722,1
RF00724,1
RF00730,0.850000024
RF00731,0.699999988
RF00735,1
RF00736,0.5
RF00742,1
RF00745,0.449999988
RF00746,0.449999988
RF00749,1
RF00761,1
RF00768,0.949999988
RF00782,0.949999988
RF00789,0.800000012
RF00792,0.949999988
RF00825,0.699999988
RF00832,1
RF00838,0.850000024
RF00844,1
RF00865,0.699999988
RF00875,0.850000024
RF00876,1
RF00882,0.949999988
RF00886,1
RF00892,0.649999976
RF00906,0.949999988
RF00951,0.949999988
RF00952,1
RF00957,1
RF00994,0.949999988
RF00998,1
RF01014,1
RF01016,1
RF01045,0.949999988
RF01051,0.699999988
RF01055,0.800000012
RF01057,0.800000012
RF01059,0.649999976
RF01061,1
RF01065,0.899999976
RF01066,0.899999976
RF01067,1
RF01068,0.949999988
RF01069,0.949999988
RF01070,1
RF01073,1
RF01093,0.949999988
RF01097,1
RF01116,0.649999976
RF01155,0.899999976
RF01156,1
RF01159,1
RF01161,0.899999976
RF01163,0.949999988
RF01170,1
RF01178,0.699999988
RF01179,1
RF01182,0.949999988
RF01185,0.899999976
RF01186,1
RF01188,0.949999988
RF01191,1
RF01192,0.899999976
RF01193,0.899999976
RF01198,0.899999976
RF01206,1
RF01207,0.800000012
RF01208,1
RF01210,0.75
RF01213,1
RF01214,0.949999988
RF01215,0.949999988
RF01219,1
RF01220,0.800000012
RF01224,0.899999976
RF01225,1
RF01227,0.899999976
RF01228,0.5
RF01229,0.949999988
RF01230,0.850000024
RF01231,0.899999976
RF01233,1
RF01234,1
RF01236,1
RF01241,0.850000024
RF01242,1
RF01262,1
RF01269,0.899999976
RF01277,1
RF01278,0.899999976
RF01279,0.850000024
RF01280,1
RF01281,1
RF01283,0.949999988
RF01284,0.75
RF01285,1
RF01286,0.949999988
RF01287,0.949999988
RF01288,1
RF01290,1
RF01291,1
RF01292,1
RF01299,1
RF01302,0.949999988
RF01315,1
RF01316,1
RF01317,1
RF01318,1
RF01319,1
RF01320,1
RF01322,0.949999988
RF01323,1
RF01325,1
RF01326,1
RF01327,1
RF01329,1
RF01330,1
RF01332,1
RF01334,1
RF01335,1
RF01336,1
RF01337,1
RF01338,1
RF01339,1
RF01340,1
RF01343,1
RF01344,0.949999988
RF01345,1
RF01347,1
RF01348,1
RF01352,1
RF01354,1
RF01356,1
RF01358,1
RF01362,1
RF01363,1
RF01369,1
RF01370,1
RF01371,1
RF01373,1
RF01379,1
RF01394,1
RF01396,0.850000024
RF01405,0.850000024
RF01410,0.899999976
RF01411,0.949999988
RF01413,0.600000024
RF01414,0.800000012
RF01415,1
RF01419,0.949999988
RF01420,0.949999988
RF01421,1
RF01423,0.899999976
RF01424,0.949999988
RF01426,0.949999988
RF01428,0.800000012
RF01430,1
RF01431,1
RF01432,0.75
RF01433,0.75
RF01482,0.649999976
RF01492,0.899999976
RF01496,1
RF01497,1
RF01498,1
RF01500,0.800000012
RF01501,1
RF01504,1
RF01505,0.899999976
RF01506,0.899999976
RF01507,0.949999988
RF01509,0.850000024
RF01511,1
RF01513,1
RF01514,1
RF01515,0.949999988
RF01518,1
RF01539,0.949999988
RF01540,1
RF01541,0.949999988
RF01546,1
RF01581,1
RF01656,0.899999976
RF01684,0.899999976
RF01685,1
RF01687,0.949999988
RF01688,0.800000012
RF01689,0.899999976
RF01690,0.649999976
RF01691,0.949999988
RF01692,0.949999988
RF01693,1
RF01695,0.899999976
RF01699,0.949999988
RF01701,0.550000012
RF01704,0.899999976
RF01705,0.550000012
RF01706,0.949999988
RF01707,1
RF01708,0.850000024
RF01709,1
RF01717,0.850000024
RF01725,0.400000006
RF01726,1
RF01727,0.899999976
RF01728,0.75
RF01731,0.75
RF01732,1
RF01734,1
RF01735,1
RF01739,0.550000012
RF01740,1
RF01745,0.899999976
RF01746,0.649999976
RF01747,1
RF01749,0.649999976
RF01750,0.800000012
RF01751,0.949999988
RF01754,0.949999988
RF01760,0.800000012
RF01761,0.949999988
RF01763,0.800000012
RF01764,1
RF01767,0.699999988
RF01769,0.949999988
RF01770,0.75
RF01776,0.899999976
RF01778,0.899999976
RF01781,1
RF01782,1
RF01786,0.550000012
RF01787,0.800000012
RF01788,0.800000012
RF01791,0.949999988
RF01793,0.899999976
RF01794,0.800000012
RF01796,1
RF01803,1
RF01815,0.75
RF01820,1
RF01830,1
RF01831,0.25
RF01844,0.899999976
RF01847,0.75
RF01852,1
RF01853,0.550000012
RF01859,0.75
RF01860,1
RF01867,1
RF01884,0.949999988
RF01895,1
RF01896,1
RF01897,1
RF01902,1
RF01903,1
RF01911,0.899999976
RF01912,0.949999988
RF01917,0.949999988
RF01924,0.949999988
RF01925,1
RF01937,1
RF01942,0.949999988
RF01960,0.449999988
RF01969,1
RF01970,0.699999988
RF01989,1
RF01990,1
RF01998,0.400000006
RF01999,0.75
RF02000,0.949999988
RF02001,1
RF02002,1
RF02003,0.850000024
RF02004,0.899999976
RF02005,0.600000024
RF02012,0.800000012
RF02027,0.899999976
RF02029,1
RF02030,1
RF02031,0.75
RF02033,0.899999976
RF02034,0.949999988
RF02035,1
RF02046,0.949999988
RF02047,1
RF02061,1
RF02094,0.899999976
RF02095,0.899999976
RF02096,1
RF02109,0.800000012
RF02138,0.899999976
RF02144,0.949999988
RF02153,1
RF02162,1
RF02194,0.5
RF02219,1
RF02221,1
RF02228,0.899999976
RF02253,1
RF02260,1
RF02263,0.949999988
RF02264,1
RF02265,1
RF02271,0.699999988
RF02275,0.449999988
RF02276,0.949999988
RF02278,0.899999976
RF02342,0.850000024
RF02343,1
RF02344,0.75
RF02345,0.800000012
RF02346,0.75
RF02347,1
RF02356,0.949999988
RF02379,1
RF02399,1
RF02401,1
RF02402,1
RF02410,0.899999976
RF02413,1
RF02421,1
RF02440,0.800000012
RF02463,1
RF02466,1
RF02469,0.850000024
RF02471,1
RF02496,0.949999988
RF02500,0.949999988
RF02502,1
RF02510,1
RF02516,0.800000012
RF02535,1
RF02539,1
RF02540,0.550000012
RF02541,0.150000006
RF02543,0.150000006
RF02553,0.850000024
RF02564,1
RF02605,1
RF02625,0.649999976
RF02645,0.850000024
RF02647,1
RF02656,0.949999988
RF02674,1
RF02678,0.800000012
RF02680,0.949999988
RF02681,0.949999988
RF02682,0.550000012
RF02683,0.699999988
RF02684,0.75
RF02768,1
RF02770,0.949999988
RF02782,1
RF02784,0.850000024
RF02790,0.899999976
RF02820,0.899999976
RF02822,1
RF02823,0.800000012
RF02828,1
RF02829,1
RF02831,1
RF02832,1
RF02835,1
RF02837,0.75
RF02840,1
RF02850,1
RF02893,0.699999988
RF02902,0.699999988
RF02913,0.899999976
RF02914,1
RF02915,0.949999988
RF02916,0.949999988
RF02921,0.699999988
RF02924,0.649999976
RF02925,0.899999976
RF02928,1
RF02929,1
RF02931,1
RF02932,0.850000024
RF02935,1
RF02937,0.649999976
RF02940,1
RF02944,0.150000006
RF02951,0.850000024
RF02952,0.949999988
RF02957,0.300000012
RF02958,0.600000024
RF02960,0.5
RF02964,0.850000024
RF02965,0.899999976
RF02966,0.949999988
RF02967,0.850000024
RF02968,0.75
RF02969,0.5
RF02972,1
RF02975,1
RF02976,1
RF02980,0.349999994
RF02982,1
RF02984,1
RF02987,0.850000024
RF02996,0.5
RF02999,1
RF03000,0.550000012
RF03001,1
RF03003,0.699999988
RF03005,1
RF03008,1
RF03012,1
RF03013,0.699999988
RF03014,0.949999988
RF03015,0.75
RF03019,0.649999976
RF03021,0.349999994
RF03022,0.699999988
RF03031,0.949999988
RF03032,0.899999976
RF03034,0.699999988
RF03039,1
RF03042,1
RF03044,1
RF03054,1
RF03057,0.800000012
RF03058,0.899999976
RF03059,0.949999988
RF03060,1
RF03063,1
RF03064,0.649999976
RF03067,0.5
RF03068,0.899999976
RF03069,1
RF03070,1
RF03071,1
RF03074,0.449999988
RF03075,0.850000024
RF03076,0.899999976
RF03078,0.949999988
RF03081,1
RF03082,1
RF03085,1
RF03086,1
RF03126,1
RF03127,0.699999988
RF03128,1
RF03129,1
RF03130,0.800000012
RF03131,1
RF03132,0.5
RF03133,0.899999976
RF03135,0.649999976
RF03136,0.550000012
RF03137,0.850000024
RF03138,1
RF03139,0.899999976
RF03140,1
RF03141,0.949999988
RF03142,0.75
RF03143,1
RF03144,0.600000024
RF03147,0.899999976
RF03155,1
RF03156,0.899999976
RF03157,1
RF03158,1
RF03160,0.050000001
RF03161,0.800000012
RF03162,0.75
RF03163,1
RF03167,0.800000012
RF03169,0.5
RF03170,0
RF03227,1
RF03408,0.75
RF03465,0.75
RF03481,0.949999988
RF03483,0.949999988
RF03567,0.550000012
RF03577,0.200000003
RF03608,0.850000024
RF03620,0.949999988
RF03625,0.150000006
RF03630,1
RF03632,1
RF03662,0.349999994
RF03665,1
RF03673,1
RF03674,0.400000006
RF03676,1
RF03690,1
RF03695,0.949999988
RF03718,0.800000012
RF03749,0.800000012
RF03752,1
RF03759,1
RF03780,1
RF03789,1
RF03790,1
RF03794,0.699999988
RF03803,0.800000012
RF03813,0.899999976
RF03824,1
RF03833,0.949999988
RF03842,1
RF03860,0.449999988
RF03869,1
RF03874,0.349999994
RF03875,0.949999988
RF03896,0.75
RF03900,1
RF03915,1
RF03926,0.850000024
RF03940,0.899999976
RF03969,1
RF03981,0.649999976
RF03983,0.800000012
RF04021,0.800000012
RF04032,0.449999988
RF04053,0.949999988
RF04063,0.600000024
RF04064,1
RF04078,0.899999976
RF04087,0.649999976
RF04088,0.5
RF04124,0.949999988
RF04130,0.899999976
RF04134,0.699999988
RF04152,0.949999988
RF04155,1
RF04163,0.800000012
RF04183,0.899999976
